,time,open,high,low,close,weekday,range_HL,range_OC,type
0,2000-01-03 09:15:00+05:30,1054.8101,1054.8101,1054.8101,1054.8101,0,0.0,0.0,Tie
1,2000-01-04 09:15:00+05:30,1092.08,1092.08,1092.08,1092.08,1,0.0,0.0,Tie
2,2000-01-05 09:15:00+05:30,1055.99,1055.99,1055.99,1055.99,2,0.0,0.0,Tie
3,2000-01-06 09:15:00+05:30,1086.67,1086.67,1086.67,1086.67,3,0.0,0.0,Tie
4,2000-01-07 09:15:00+05:30,1126.99,1126.99,1126.99,1126.99,4,0.0,0.0,Tie
5,2000-01-10 09:15:00+05:30,1088.97,1088.97,1088.97,1088.97,0,0.0,0.0,Tie
6,2000-01-11 09:15:00+05:30,1033.55,1033.55,1033.55,1033.55,1,0.0,0.0,Tie
7,2000-01-12 09:15:00+05:30,1036.63,1036.63,1036.63,1036.63,2,0.0,0.0,Tie
8,2000-01-13 09:15:00+05:30,1034.1899,1034.1899,1034.1899,1034.1899,3,0.0,0.0,Tie
9,2000-01-14 09:15:00+05:30,1023.41,1023.41,1023.41,1023.41,4,0.0,0.0,Tie
10,2000-01-17 09:15:00+05:30,1035.99,1035.99,1035.99,1035.99,0,0.0,0.0,Tie
11,2000-01-18 09:15:00+05:30,1021.69,1021.69,1021.69,1021.69,1,0.0,0.0,Tie
12,2000-01-19 09:15:00+05:30,1057.89,1057.89,1057.89,1057.89,2,0.0,0.0,Tie
13,2000-01-20 09:15:00+05:30,1046.3101,1046.3101,1046.3101,1046.3101,3,0.0,0.0,Tie
14,2000-01-21 09:15:00+05:30,1058.91,1058.91,1058.91,1058.91,4,0.0,0.0,Tie
15,2000-01-24 09:15:00+05:30,1049.8199,1049.8199,1049.8199,1049.8199,0,0.0,0.0,Tie
16,2000-01-25 09:15:00+05:30,1061.6,1061.6,1061.6,1061.6,1,0.0,0.0,Tie
17,2000-01-27 09:15:00+05:30,1096.45,1096.45,1096.45,1096.45,3,0.0,0.0,Tie
18,2000-01-28 09:15:00+05:30,1153.35,1153.35,1153.35,1153.35,4,0.0,0.0,Tie
19,2000-01-31 09:15:00+05:30,1148.89,1148.89,1148.89,1148.89,0,0.0,0.0,Tie
20,2000-02-01 09:15:00+05:30,1175.15,1175.15,1175.15,1175.15,1,0.0,0.0,Tie
21,2000-02-02 09:15:00+05:30,1186.97,1186.97,1186.97,1186.97,2,0.0,0.0,Tie
22,2000-02-03 09:15:00+05:30,1185.11,1185.11,1185.11,1185.11,3,0.0,0.0,Tie
23,2000-02-04 09:15:00+05:30,1172.21,1172.21,1172.21,1172.21,4,0.0,0.0,Tie
24,2000-02-07 09:15:00+05:30,1158.08,1158.08,1158.08,1158.08,0,0.0,0.0,Tie
25,2000-02-08 09:15:00+05:30,1150.2,1150.2,1150.2,1150.2,1,0.0,0.0,Tie
26,2000-02-09 09:15:00+05:30,1154.25,1154.25,1154.25,1154.25,2,0.0,0.0,Tie
27,2000-02-10 09:15:00+05:30,1181.48,1181.48,1181.48,1181.48,3,0.0,0.0,Tie
28,2000-02-11 09:15:00+05:30,1156.67,1156.67,1156.67,1156.67,4,0.0,0.0,Tie
29,2000-02-14 09:15:00+05:30,1212.66,1212.66,1212.66,1212.66,0,0.0,0.0,Tie
30,2000-02-15 09:15:00+05:30,1148.1,1148.1,1148.1,1148.1,1,0.0,0.0,Tie
31,2000-02-16 09:15:00+05:30,1167.64,1167.64,1167.64,1167.64,2,0.0,0.0,Tie
32,2000-02-17 09:15:00+05:30,1178.51,1178.51,1178.51,1178.51,3,0.0,0.0,Tie
33,2000-02-18 09:15:00+05:30,1151.5601,1151.5601,1151.5601,1151.5601,4,0.0,0.0,Tie
34,2000-02-21 09:15:00+05:30,1142.8,1142.8,1142.8,1142.8,0,0.0,0.0,Tie
35,2000-02-22 09:15:00+05:30,1091.48,1091.48,1091.48,1091.48,1,0.0,0.0,Tie
36,2000-02-23 09:15:00+05:30,1092.85,1092.85,1092.85,1092.85,2,0.0,0.0,Tie
37,2000-02-24 09:15:00+05:30,1103.9,1103.9,1103.9,1103.9,3,0.0,0.0,Tie
38,2000-02-25 09:15:00+05:30,1109.38,1109.38,1109.38,1109.38,4,0.0,0.0,Tie
39,2000-02-28 09:15:00+05:30,1141.1801,1141.1801,1141.1801,1141.1801,0,0.0,0.0,Tie
40,2000-02-29 09:15:00+05:30,1075.15,1075.15,1075.15,1075.15,1,0.0,0.0,Tie
41,2000-03-01 09:15:00+05:30,1139.88,1139.88,1139.88,1139.88,2,0.0,0.0,Tie
42,2000-03-02 09:15:00+05:30,1141.08,1141.08,1141.08,1141.08,3,0.0,0.0,Tie
43,2000-03-03 09:15:00+05:30,1124.7,1124.7,1124.7,1124.7,4,0.0,0.0,Tie
44,2000-03-06 09:15:00+05:30,1126.59,1126.59,1126.59,1126.59,0,0.0,0.0,Tie
45,2000-03-07 09:15:00+05:30,1104.42,1104.42,1104.42,1104.42,1,0.0,0.0,Tie
46,2000-03-08 09:15:00+05:30,1057.46,1057.46,1057.46,1057.46,2,0.0,0.0,Tie
47,2000-03-09 09:15:00+05:30,1004.31,1004.31,1004.31,1004.31,3,0.0,0.0,Tie
48,2000-03-10 09:15:00+05:30,987.88,987.88,987.88,987.88,4,0.0,0.0,Tie
49,2000-03-13 09:15:00+05:30,978.64001,978.64001,978.64001,978.64001,0,0.0,0.0,Tie
50,2000-03-14 09:15:00+05:30,996.35999,996.35999,996.35999,996.35999,1,0.0,0.0,Tie
51,2000-03-15 09:15:00+05:30,1027.62,1027.62,1027.62,1027.62,2,0.0,0.0,Tie
52,2000-03-16 09:15:00+05:30,1055.36,1055.36,1055.36,1055.36,3,0.0,0.0,Tie
53,2000-03-21 09:15:00+05:30,1074.75,1074.75,1074.75,1074.75,1,0.0,0.0,Tie
54,2000-03-22 09:15:00+05:30,1088.21,1088.21,1088.21,1088.21,2,0.0,0.0,Tie
55,2000-03-23 09:15:00+05:30,1086.02,1086.02,1086.02,1086.02,3,0.0,0.0,Tie
56,2000-03-24 09:15:00+05:30,1086.3199,1086.3199,1086.3199,1086.3199,4,0.0,0.0,Tie
57,2000-03-27 09:15:00+05:30,1071.09,1071.09,1071.09,1071.09,0,0.0,0.0,Tie
58,2000-03-28 09:15:00+05:30,1071.17,1071.17,1071.17,1071.17,1,0.0,0.0,Tie
59,2000-03-29 09:15:00+05:30,1070.13,1070.13,1070.13,1070.13,2,0.0,0.0,Tie
60,2000-03-30 09:15:00+05:30,1101.0601,1101.0601,1101.0601,1101.0601,3,0.0,0.0,Tie
61,2000-03-31 09:15:00+05:30,1106.83,1106.83,1106.83,1106.83,4,0.0,0.0,Tie
62,2000-04-03 09:15:00+05:30,1110.14,1110.14,1110.14,1110.14,0,0.0,0.0,Tie
63,2000-04-04 09:15:00+05:30,1026.65,1026.65,1026.65,1026.65,1,0.0,0.0,Tie
64,2000-04-05 09:15:00+05:30,1000.84,1000.84,1000.84,1000.84,2,0.0,0.0,Tie
65,2000-04-06 09:15:00+05:30,989.20001,989.20001,989.20001,989.20001,3,0.0,0.0,Tie
66,2000-04-07 09:15:00+05:30,1048.75,1048.75,1048.75,1048.75,4,0.0,0.0,Tie
67,2000-04-10 09:15:00+05:30,1087.71,1087.71,1087.71,1087.71,0,0.0,0.0,Tie
68,2000-04-11 09:15:00+05:30,1105.1899,1105.1899,1105.1899,1105.1899,1,0.0,0.0,Tie
69,2000-04-12 09:15:00+05:30,1097.08,1097.08,1097.08,1097.08,2,0.0,0.0,Tie
70,2000-04-13 09:15:00+05:30,1056.89,1056.89,1056.89,1056.89,3,0.0,0.0,Tie
71,2000-04-17 09:15:00+05:30,1003.89,1003.89,1003.89,1003.89,0,0.0,0.0,Tie
72,2000-04-18 09:15:00+05:30,1031.28,1031.28,1031.28,1031.28,1,0.0,0.0,Tie
73,2000-04-19 09:15:00+05:30,1029.46,1029.46,1029.46,1029.46,2,0.0,0.0,Tie
74,2000-04-20 09:15:00+05:30,1026.09,1026.09,1026.09,1026.09,3,0.0,0.0,Tie
75,2000-04-24 09:15:00+05:30,1009.29,1009.29,1009.29,1009.29,0,0.0,0.0,Tie
76,2000-04-25 09:15:00+05:30,1015.7,1015.7,1015.7,1015.7,1,0.0,0.0,Tie
77,2000-04-26 09:15:00+05:30,1067.5699,1067.5699,1067.5699,1067.5699,2,0.0,0.0,Tie
78,2000-04-27 09:15:00+05:30,1050.72,1050.72,1050.72,1050.72,3,0.0,0.0,Tie
79,2000-04-28 09:15:00+05:30,1056.2,1056.2,1056.2,1056.2,4,0.0,0.0,Tie
80,2000-05-02 09:15:00+05:30,1021.98,1021.98,1021.98,1021.98,1,0.0,0.0,Tie
81,2000-05-03 09:15:00+05:30,1020.9,1020.9,1020.9,1020.9,2,0.0,0.0,Tie
82,2000-05-04 09:15:00+05:30,1030.91,1030.91,1030.91,1030.91,3,0.0,0.0,Tie
83,2000-05-05 09:15:00+05:30,1040.91,1040.91,1040.91,1040.91,4,0.0,0.0,Tie
84,2000-05-08 09:15:00+05:30,1031.09,1031.09,1031.09,1031.09,0,0.0,0.0,Tie
85,2000-05-09 09:15:00+05:30,1032.5,1032.5,1032.5,1032.5,1,0.0,0.0,Tie
86,2000-05-10 09:15:00+05:30,1027.99,1027.99,1027.99,1027.99,2,0.0,0.0,Tie
87,2000-05-11 09:15:00+05:30,1012.45,1012.45,1012.45,1012.45,3,0.0,0.0,Tie
88,2000-05-12 09:15:00+05:30,995.66998,995.66998,995.66998,995.66998,4,0.0,0.0,Tie
89,2000-05-15 09:15:00+05:30,993.34998,993.34998,993.34998,993.34998,0,0.0,0.0,Tie
90,2000-05-16 09:15:00+05:30,989.60999,989.60999,989.60999,989.60999,1,0.0,0.0,Tie
91,2000-05-17 09:15:00+05:30,999.40002,999.40002,999.40002,999.40002,2,0.0,0.0,Tie
92,2000-05-18 09:15:00+05:30,984.62,984.62,984.62,984.62,3,0.0,0.0,Tie
93,2000-05-19 09:15:00+05:30,988.26001,988.26001,988.26001,988.26001,4,0.0,0.0,Tie
94,2000-05-22 09:15:00+05:30,966.01001,966.01001,966.01001,966.01001,0,0.0,0.0,Tie
95,2000-05-23 09:15:00+05:30,948.47998,948.47998,948.47998,948.47998,1,0.0,0.0,Tie
96,2000-05-24 09:15:00+05:30,950.96002,950.96002,950.96002,950.96002,2,0.0,0.0,Tie
97,2000-05-25 09:15:00+05:30,950.96997,950.96997,950.96997,950.96997,3,0.0,0.0,Tie
98,2000-05-26 09:15:00+05:30,953.85999,953.85999,953.85999,953.85999,4,0.0,0.0,Tie
99,2000-05-29 09:15:00+05:30,966.83002,966.83002,966.83002,966.83002,0,0.0,0.0,Tie
100,2000-05-30 09:15:00+05:30,986.64001,986.64001,986.64001,986.64001,1,0.0,0.0,Tie
101,2000-05-31 09:15:00+05:30,1001.24,1001.24,1001.24,1001.24,2,0.0,0.0,Tie
102,2000-06-01 09:15:00+05:30,985.92999,985.92999,985.92999,985.92999,3,0.0,0.0,Tie
103,2000-06-02 09:15:00+05:30,1007.95,1007.95,1007.95,1007.95,4,0.0,0.0,Tie
104,2000-06-05 09:15:00+05:30,1034.98,1034.98,1034.98,1034.98,0,0.0,0.0,Tie
105,2000-06-06 09:15:00+05:30,1034.29,1034.29,1034.29,1034.29,1,0.0,0.0,Tie
106,2000-06-07 09:15:00+05:30,1029.53,1029.53,1029.53,1029.53,2,0.0,0.0,Tie
107,2000-06-08 09:15:00+05:30,1064.58,1064.58,1064.58,1064.58,3,0.0,0.0,Tie
108,2000-06-09 09:15:00+05:30,1070.22,1070.22,1070.22,1070.22,4,0.0,0.0,Tie
109,2000-06-12 09:15:00+05:30,1052.4399,1052.4399,1052.4399,1052.4399,0,0.0,0.0,Tie
110,2000-06-13 09:15:00+05:30,1059.5601,1059.5601,1059.5601,1059.5601,1,0.0,0.0,Tie
111,2000-06-14 09:15:00+05:30,1066.28,1066.28,1066.28,1066.28,2,0.0,0.0,Tie
112,2000-06-15 09:15:00+05:30,1071.61,1071.61,1071.61,1071.61,3,0.0,0.0,Tie
113,2000-06-16 09:15:00+05:30,1098.0,1098.0,1098.0,1098.0,4,0.0,0.0,Tie
